"","k","m","n","ARL","H"
"20",0.05,175,25,255.1279,2.060849339
"144",0.1,175,20,497.4402,2.927000641
"173",0.2,200,15,235.8161,3.0975
"151",0.2,100,5,246.6062,3.187125
"150",0.1,200,25,483.7146,2.93135954
"49",0.05,200,20,358.7096,2.341874249
"133",0.1,125,15,477.4145,2.811489819
"59",0.05,125,20,497.2447,2.279424269
"11",0.05,150,5,251.2297,2.232586784
"206",0.2,125,5,504.0357,3.9
"8",0.05,125,15,249.5634,2.029624349
"130",0.1,100,25,505.8714,2.593544871
"100",0.1,200,25,257.1944,2.571750377
"45",0.05,175,25,369.4969,2.248199279
"2",0.05,100,10,256.4689,1.967174369
"211",0.2,150,5,510.0023,4.038
"154",0.2,100,20,240.0812,2.7525
"65",0.05,150,25,502.0047,2.310649259
"162",0.2,150,10,256.2312,3.135
"57",0.05,125,10,503.0858,2.404324229
"66",0.05,175,5,520.3641,2.716574129
"44",0.05,175,20,363.362,2.279424269
"101",0.1,100,5,385.5265,2.933103099
"131",0.1,125,5,484.7746,3.142766138
"175",0.2,200,25,247.694,3.045
"216",0.2,175,5,509.9044,4.11
"80",0.1,100,25,251.3869,2.223038461
"146",0.1,200,5,499.5081,3.367249434
"33",0.05,125,15,384.1921,2.232586784
"82",0.1,125,10,259.2754,2.549955882
"47",0.05,200,10,389.4217,2.451161714
