k,m,n,ARL,H
6,175,5,492.001,4.6
6,175,10,516.8372,4.05
6,175,15,502.7506,3.7
6,175,20,480.7596,3.45
6,175,25,492.9862,3.35
6,200,5,497.062,4.75
6,200,10,507.0294,4.15
6,200,15,489.0368,3.8
6,200,20,508.3409,3.65
6,200,25,505.3973,3.5
