"","t","SC","WRSAB","WRSM","MWAB","MWM","VWAB","VWM","PvalMW","PvalVW","PvalAB","PvalM","PvalMN"
"1",1,1.16067484575599,1.74223285045108,2.34553289761884,1.74197636190146,2.32109320296235,1.74181844624556,2.32093528730646,0.985511513816623,0.98954138422247,0.186927919830939,0.127672342322235,0.271867983667047
"2",2,0.0316723802914643,0.145742539902845,0.160077585010409,0.145742539902845,0.0633447605829285,0.140024416999699,0.057626637679782,0.865411568145016,0.874125238634442,0.734602760602783,0.856870468705259,0.861967738159763
"3",3,0.169218528799445,0.261512144344205,0.549490492713394,0.261512144344205,0.33843705759889,0.21814130911266,0.295066222367345,0.628204239918344,0.657127094121468,0.884482162995136,0.754201784470258,0.817420033691601
"4",4,0.56770825815406,1.74987855655795,0.823233310201249,1.74987855655795,1.13541651630812,2.515494920765,1.90103288051518,0.345016833005929,0.196421241481523,0.357484990088508,0.629862656803799,0.641690604926215
"5",5,1.48005827550312,4.15676502428869,3.04365853573907,4.15676502428869,2.96011655100625,4.15963527105934,2.9629867977769,0.894058632431926,0.881414826324287,0.0419459989644724,0.0863715113931987,0.0863652648434705
"6",6,0.19171046148508,0.446528348369188,0.282291151977793,0.446528348369188,0.38342092297016,0.605142450498599,0.542035025099571,0.716461496106413,0.587061918073141,0.577565847691286,0.619139438644811,0.601942186769039
"7",7,1.32637161693269,2.89691918806384,2.87259056210965,2.89691918806384,2.65274323386537,2.82376186045196,2.57958590625349,0.611124657319918,0.661608567424824,0.104717425585595,0.122269153383428,0.141085296019174
"8",8,0.264731158917418,0.526508119361555,0.810866897987509,0.526508119361555,0.529462317834837,0.264378684021864,0.267332882495146,0.497798121919714,0.650125196391867,0.808664350547275,0.803999427037405,0.527392301450127
"9",9,0.836721443442054,1.77443868841083,2.11753448993754,1.77443868841083,1.67344288688411,2.06600673587318,1.96501093434646,0.260209938995419,0.209789996716886,0.482533588324606,0.531178752382427,0.564805492030159
"10",10,1.31804718945177,3.13757113115892,2.13044552394171,3.13757113115892,2.63609437890354,2.72183740561212,2.22036065335674,0.139680831943829,0.181701081314783,0.332745870540665,0.508717082061515,0.176144472663058
"11",11,0.289873542678695,0.664069257460097,0.478617314365024,0.664069257460097,0.579747085357391,0.676710087553449,0.592387915450742,0.716461496106413,0.699509318078815,0.467563931501442,0.505483520588852,0.632934195647133
"12",12,2.69026951769604,7.4295439278279,5.31458483691881,7.4295439278279,5.38053903539209,7.39797616471035,5.34897127227454,0.789976778454083,0.836422190060275,0.00668636613940443,0.0212479422322842,0.0201751500504059
"13",13,1.63788325815406,3.29687092297016,3.96608712699514,3.29687092297016,3.27576651630812,2.99003050531334,2.9689260986513,0.0712542947848878,0.0848784282515266,0.884482162995136,0.998273130104832,0.357273726064355
"14",14,2.72278688410826,4.95175971547537,6.20184857737682,4.95175971547537,5.44557376821652,6.07646400709442,6.57027805983558,0.047094498938714,0.0240532773199473,0.320801186795193,0.223854126109372,0.336202768880579
"15",15,1.9933697258848,3.79020718251214,4.72542647467037,3.79020718251214,3.9867394517696,4.64402412014827,4.84055638940573,0.0527424383400209,0.0314291932766597,0.903631842273541,0.645835226448341,0.813495217300265
"16",16,5.60522482650937,10.3897883067314,12.0634572866065,10.3897883067314,11.2104496530187,12.0744965877569,12.8951579340442,0.0243355378628751,0.00920525273325869,0.0214244412282814,0.0134222057948013,0.716142622345999
"17",17,1.5893669500347,3.06089781401804,3.84706977793199,3.06089781401804,3.1787339000694,3.6519732832979,3.76980936934926,0.0812774912098943,0.0560225416784982,0.98068115600439,0.7307518082346,0.850076868603587
"18",18,7.00823717904233,13.7377832061069,15.1508865718251,13.7377832061069,14.0164743580847,13.9901122557873,14.268803407765,0.00247321298540947,0.00211228289192209,0.0330961209880989,0.0281396512722162,0.130676044707341
"19",19,1.90855196044414,3.66529840388619,4.38870697432339,3.66529840388619,3.81710392088827,5.17908798919742,5.3308935061995,0.139680831943829,0.0539844838880485,0.225992257813909,0.203410747548629,0.132151980519734
"20",20,9.89797374842774,17.8741030794587,21.024894061741,17.914005369535,19.8358497869318,21.0754222277473,22.9972666451441,0.0010129978698032,0.000178504040270051,0.00801229799204983,0.00276955715236816,0.937894247655371
