"","Sample","WRS_Statistic","AB_Statistic","WRSAB_Max","VW_Statistic","Mood_Statistic","VWM_Max","Lepage","Cucconi","SLVM","Wilcoxon_p","VanWaerden_p","AnsariBradley_p","Mood_p"
"1",1,0.177861045468131,0.260271206997998,0.260271206997998,0.507384623128529,0.0118289093677922,0.507384623128529,0.0993756526872113,0.015887237295924,0.257579078884111,0.860850519524372,0.611864381494005,0.794616821393387,0.990209320851838
"2",2,0.572248581071378,0.528485951411889,0.572248581071378,1.06062747417699,0.995493042558431,1.06062747417699,0.606765839377935,0.659237418160225,2.11593703676131,0.568883591659141,0.288828966718356,0.597096233461856,0.319053547310616
"3",3,0.997568472408214,1.37910641636373,1.37910641636373,1.45743071027763,1.71425953049792,1.71425953049792,2.89707736479846,1.96691429752291,5.06279001316331,0.31971919639705,0.14497907357705,0.16778620157733,0.0862350767524397
"4",4,0.61864711467176,1.73482042897995,1.73482042897995,1.16825216647222,1.91127205548563,1.91127205548563,3.39232617329787,2.01784256128598,5.0177739945473,0.537829948476342,0.242678712412821,0.0827159043236481,0.0557581360049957
"5",5,0.708866485561392,1.55438578489926,1.55438578489926,1.26604175529582,1.69440871707611,1.69440871707611,2.91860686264904,1.68675629742783,4.47388262665602,0.479988383469881,0.205474563925892,0.120024311842554,0.0899070785997316
"6",6,0.933126064629905,2.00289475732841,2.00289475732841,1.45021615547954,1.99351113966171,1.99351113966171,4.88231166142532,2.42240545822352,6.0772135615692,0.352064337638804,0.146979200992747,0.045147700165288,0.0460022796678135
"7",7,2.06989013783927,2.12146609486715,2.12146609486715,2.62860003690364,2.18842592702755,2.62860003690364,8.78506357439513,4.53682661040532,11.6987461920962,0.0386956741360389,0.00857181738492343,0.0338494437059063,0.0285031053228462
"8",8,1.81212050672603,1.60593854035088,1.81212050672603,2.2105383617237,1.45429545335748,2.2105383617237,5.86281932628134,2.69937799827662,7.00145511430832,0.0703536612409254,0.0270653270525924,0.108221803024331,0.145485689748543
"9",9,0.752687322850642,1.7554415311606,1.7554415311606,1.18851887756525,1.69170885106277,1.69170885106277,3.64811317530354,1.71420852137209,4.27445595909309,0.45316776329823,0.234614191185616,0.0791282437994858,0.0904147672685489
"10",10,0.773308893339701,1.7141993267993,1.7141993267993,1.20593877598224,1.65938815288871,1.65938815288871,3.53648597651744,1.67578784323283,4.20785737336494,0.440845924539228,0.227825840230365,0.0864360596957956,0.0967789791764812
"11",11,1.63941485388017,2.00289475732841,2.00289475732841,1.9596078506936,2.03154234580644,2.03154234580644,6.69926847205655,3.40742268296382,7.9672272313047,0.101649262866915,0.050037173441634,0.0451502837917492,0.0420454690313501
"12",12,1.75283349156999,2.22972688131557,2.22972688131557,2.07874851431241,2.29430340644271,2.29430340644271,8.04410721443067,4.16812668499204,9.58502350657067,0.0800611133796213,0.0376370498412297,0.0257399314606899,0.0216840215574544
"13",13,1.03365622076407,1.27600090546047,1.27600090546047,1.32021401621882,1.27699777731609,1.32021401621882,2.6966234934602,1.34958425299724,3.37368837189085,0.30248178003522,0.186749728200533,0.201872283953163,0.201184693429228
"14",14,0.108263245067558,1.70388877570897,1.70388877570897,0.4495574311685,1.87922328626255,1.87922328626255,2.91495789021959,1.77160054493199,3.73358204355024,0.915828022639769,0.653001867377165,0.0883437994387248,0.0600031506076219
"15",15,0.31963434258041,1.28115618100564,1.28115618100564,0.735757438560208,1.30265621619105,1.30265621619105,1.74352727308576,0.899539665268999,2.23825222597787,0.75118952222077,0.461856344412461,0.200055792664094,0.192273790465599
"16",16,1.1960510883654,2.02351585950906,2.02351585950906,1.69088990798054,2.25805916197588,2.25805916197588,5.52515463966475,3.26468469248164,7.95793985989365,0.232662477284618,0.0908526558137715,0.0429815418251771,0.0238257499008047
"17",17,0.997568472408214,1.62655964253153,1.62655964253153,1.46825395156709,1.77925054978303,1.77925054978303,3.64083912785517,2.08043768802304,5.32150218519559,0.319718341034925,0.142027680164746,0.103766625743045,0.0749416967174188
"18",18,0.863528264229332,1.35848531418308,1.35848531418308,1.32843262968169,1.47220391712941,1.47220391712941,2.59116341197402,1.45653271836705,3.93211762521417,0.389243309930895,0.18402634887632,0.174229945469359,0.14059818829193
"19",19,1.5620839645462,2.27096908567687,2.27096908567687,2.02106784578164,2.41997342879019,2.41997342879019,7.59740690039238,4.14818885417146,9.940986633303,0.118860305961167,0.0432687310802094,0.0231245563158193,0.0154468531577533
"20",20,2.64213871891064,2.11115554377682,2.64213871891064,3.07782158461459,2.17280943584248,3.07782158461459,11.4378747399864,5.85099892722645,14.1940865512056,0.00829850298026117,0.00208491461446597,0.034727017997555,0.0296765573037879
"21",21,3.25563044096014,1.87401286869934,3.25563044096014,3.5613857177914,1.96016099617321,3.5613857177914,14.111053800157,7.22068034951253,16.5256993618073,0.00114114790556856,0.000368844851729958,0.0608831886046177,0.0498095859608751
"22",22,2.91279683157954,1.18836122119271,2.91279683157954,3.02421975343821,1.05085000758012,3.02421975343821,9.89658777409443,4.79433556024547,10.250190855517,0.00361026837783052,0.00249232995602144,0.234608409032426,0.292926916665939
"23",23,2.67307107464423,0.708920595492582,2.67307107464423,2.83503220926963,0.800966725122571,2.83503220926963,7.64787738081323,3.89342833242662,8.67895532234984,0.00757130350154971,0.00458136921226418,0.478295361462848,0.42271816729855
"24",24,2.91537452789067,1.19351649673787,2.91537452789067,3.14090637256989,1.42694717028711,3.14090637256989,9.9238902658592,5.26779343233208,11.9014710680406,0.00358060558982563,0.001683980295239,0.232584916940035,0.153280603885101
"25",25,2.80195589020085,0.966684372750714,2.80195589020085,2.94276130150052,1.07545957764415,2.94276130150052,8.78543548715167,4.50378505688888,9.81645738075554,0.00511818305828931,0.00325262623970499,0.333617762672946,0.281808555077398
