,Sample,WRS_Statistic,AB_Statistic,WRSAB_Max,VW_Statistic,Mood_Statistic,VWM_Max,Lepage,Cucconi,SLVM,Wilcoxon_p,VanWaerden_p,AnsariBradley_p,Mood_p
1,1,0.177861045,0.260271207,0.260271207,0.507384623,0.011828909,0.507384623,0.099375653,0.015887237,0.257579079,0.86085052,0.611864381,0.794616821,0.990209321
2,2,0.572248581,0.528485951,0.572248581,1.060627474,0.995493043,1.060627474,0.606765839,0.659237418,2.115937037,0.568883592,0.288828967,0.597096233,0.319053547
3,3,0.997568472,1.379106416,1.379106416,1.45743071,1.71425953,1.71425953,2.897077365,1.966914298,5.062790013,0.319719196,0.144979074,0.167786202,0.086235077
4,4,0.618647115,1.734820429,1.734820429,1.168252166,1.911272055,1.911272055,3.392326173,2.017842561,5.017773995,0.537829948,0.242678712,0.082715904,0.055758136
5,5,0.708866486,1.554385785,1.554385785,1.266041755,1.694408717,1.694408717,2.918606863,1.686756297,4.473882627,0.479988383,0.205474564,0.120024312,0.089907079
6,6,0.933126065,2.002894757,2.002894757,1.450216155,1.99351114,1.99351114,4.882311661,2.422405458,6.077213562,0.352064338,0.146979201,0.0451477,0.04600228
7,7,2.069890138,2.121466095,2.121466095,2.628600037,2.188425927,2.628600037,8.785063574,4.53682661,11.69874619,0.038695674,0.008571817,0.033849444,0.028503105
8,8,1.812120507,1.60593854,1.812120507,2.210538362,1.454295453,2.210538362,5.862819326,2.699377998,7.001455114,0.070353661,0.027065327,0.108221803,0.14548569
9,9,0.752687323,1.755441531,1.755441531,1.188518878,1.691708851,1.691708851,3.648113175,1.714208521,4.274455959,0.453167763,0.234614191,0.079128244,0.090414767
10,10,0.773308893,1.714199327,1.714199327,1.205938776,1.659388153,1.659388153,3.536485977,1.675787843,4.207857373,0.440845925,0.22782584,0.08643606,0.096778979
11,11,1.639414854,2.002894757,2.002894757,1.959607851,2.031542346,2.031542346,6.699268472,3.407422683,7.967227231,0.101649263,0.050037173,0.045150284,0.042045469
12,12,1.752833492,2.229726881,2.229726881,2.078748514,2.294303406,2.294303406,8.044107214,4.168126685,9.585023507,0.080061113,0.03763705,0.025739931,0.021684022
13,13,1.033656221,1.276000905,1.276000905,1.320214016,1.276997777,1.320214016,2.696623493,1.349584253,3.373688372,0.30248178,0.186749728,0.201872284,0.201184693
14,14,0.108263245,1.703888776,1.703888776,0.449557431,1.879223286,1.879223286,2.91495789,1.771600545,3.733582044,0.915828023,0.653001867,0.088343799,0.060003151
15,15,0.319634343,1.281156181,1.281156181,0.735757439,1.302656216,1.302656216,1.743527273,0.899539665,2.238252226,0.751189522,0.461856344,0.200055793,0.19227379
16,16,1.196051088,2.02351586,2.02351586,1.690889908,2.258059162,2.258059162,5.52515464,3.264684692,7.95793986,0.232662477,0.090852656,0.042981542,0.02382575
17,17,0.997568472,1.626559643,1.626559643,1.468253952,1.77925055,1.77925055,3.640839128,2.080437688,5.321502185,0.319718341,0.14202768,0.103766626,0.074941697
18,18,0.863528264,1.358485314,1.358485314,1.32843263,1.472203917,1.472203917,2.591163412,1.456532718,3.932117625,0.38924331,0.184026349,0.174229945,0.140598188
19,19,1.562083965,2.270969086,2.270969086,2.021067846,2.419973429,2.419973429,7.5974069,4.148188854,9.940986633,0.118860306,0.043268731,0.023124556,0.015446853
20,20,2.642138719,2.111155544,2.642138719,3.077821585,2.172809436,3.077821585,11.43787474,5.850998927,14.19408655,0.008298503,0.002084915,0.034727018,0.029676557
21,21,3.255630441,1.874012869,3.255630441,3.561385718,1.960160996,3.561385718,14.1110538,7.22068035,16.52569936,0.001141148,0.000368845,0.060883189,0.049809586
22,22,2.912796832,1.188361221,2.912796832,3.024219753,1.050850008,3.024219753,9.896587774,4.79433556,10.25019086,0.003610268,0.00249233,0.234608409,0.292926917
23,23,2.673071075,0.708920595,2.673071075,2.835032209,0.800966725,2.835032209,7.647877381,3.893428332,8.678955322,0.007571304,0.004581369,0.478295361,0.422718167
24,24,2.915374528,1.193516497,2.915374528,3.140906373,1.42694717,3.140906373,9.923890266,5.267793432,11.90147107,0.003580606,0.00168398,0.232584917,0.153280604
25,25,2.80195589,0.966684373,2.80195589,2.942761302,1.075459578,2.942761302,8.785435487,4.503785057,9.816457381,0.005118183,0.003252626,0.333617763,0.281808555
