k,m,n,ARL,H
0.05,150,25,502.0047,2.310649259
0.05,175,5,520.3641,2.716574129
0.05,175,10,493.9513,2.560449179
0.05,175,15,489.4332,2.497999199
0.05,175,20,490.3041,2.435549219
0.05,175,25,485.5408,2.373099239
0.05,200,5,517.963,2.779024109
0.05,200,10,514.2325,2.622899159
0.05,200,15,516.5877,2.560449179
0.05,200,20,493.5247,2.497999199
0.05,200,25,490.9429,2.435549219
0.1,100,5,246.5989,2.582647624
0.1,100,10,263.6924,2.451880656
0.1,100,15,249.8827,2.375599924
0.1,100,20,252.4374,2.31021644
0.1,100,25,251.3869,2.223038461
0.1,125,5,252.6018,2.72431184
0.1,125,10,259.2754,2.549955882
0.1,125,15,260.7523,2.484572398
0.1,125,20,262.5849,2.440983408
0.1,125,25,254.1798,2.375599924
0.1,150,5,238.4857,2.746106334
0.1,150,10,257.2912,2.604442119
0.1,150,15,261.4002,2.560853129
0.1,150,20,254.2768,2.506366893
0.1,150,25,249.3579,2.440983408
0.1,175,5,260.2125,2.872514404
0.1,175,10,250.0025,2.643672209
0.1,175,15,255.0619,2.615339366
0.1,175,20,259.7401,2.571750377
0.1,175,25,252.5108,2.506366893
0.1,200,5,259.1437,2.911744494
0.1,200,10,247.397,2.6829023
0.1,200,15,256.9649,2.669825603
0.1,200,20,264.7272,2.637133861
0.1,200,25,257.1944,2.571750377
0.1,100,5,385.5265,2.933103099
0.1,100,10,356.6816,2.615339366
0.1,100,15,369.581,2.549955882
0.1,100,20,354.3183,2.484572398
0.1,100,25,380.8834,2.419188914
0.1,125,5,356.801,2.946615686
0.1,125,10,372.7133,2.746106334
0.1,125,15,369.2727,2.68072285
0.1,125,20,367.8724,2.615339366
0.1,125,25,385.983,2.560853129
0.1,150,5,367.155,3.029434766
0.1,150,10,375.3374,2.833284313
0.1,150,15,373.7659,2.757003582
0.1,150,20,367.8024,2.687261199
0.1,150,25,383.6476,2.658928356
0.1,175,5,378.3863,3.116612745
0.1,175,10,373.0302,2.905206146
0.1,175,15,382.7975,2.839822662
0.1,175,20,365.3972,2.752644683
0.1,175,25,366.0093,2.713414592
0.1,200,5,370.0232,3.160201734
0.1,200,10,366.3684,2.933538989
0.1,200,15,352.1963,2.857258257
0.1,200,20,369.6299,2.818028167
0.1,200,25,372.7371,2.767900829
0.1,100,5,504.0634,3.059947058
0.1,100,10,492.1857,2.789695324
0.1,100,15,486.4011,2.702517345
0.1,100,20,488.6659,2.637133861
0.1,100,25,505.8714,2.593544871
0.1,125,5,484.7746,3.142766138
0.1,125,10,505.8714,2.920462292
0.1,125,15,477.4145,2.811489819
0.1,125,20,526.4972,2.789695324
